rect,N,M,S_est,abs_err,rel_err
tight,100,74,0.73999999999999999112,0.20451718590000000919,0.21653093130870051941
tight,600,465,0.77500000000000002220,0.16951718589999997810,0.17947496184357145110
tight,1100,868,0.78909090909090906507,0.15542627680909093524,0.16455632478618187342
tight,1600,1290,0.80625000000000002220,0.13826718589999997810,0.14638927482113481271
tight,2100,1676,0.79809523809523807980,0.14642194780476192051,0.15502306362508497251
tight,2600,2014,0.77461538461538459455,0.16990180128461540576,0.17988217029923225798
tight,3100,2407,0.77645161290322584069,0.16806557299677415962,0.17793807831736793701
tight,3600,2848,0.79111111111111109828,0.15340607478888890203,0.16241745208978192183
tight,4100,3239,0.79000000000000003553,0.15451718589999996478,0.16359383207280184247
tight,4600,3566,0.77521739130434785814,0.16929979459565214217,0.17924480054254579575
tight,5100,4076,0.79921568627450978450,0.14530149962549021581,0.15383679809598921340
tight,5600,4423,0.78982142857142856318,0.15469575732857143713,0.16378289314150151768
tight,6100,4798,0.78655737704918027298,0.15795980885081972733,0.16723868152838841650
tight,6600,5219,0.79075757575757577023,0.15375961014242423008,0.16279175481165189532
tight,7100,5607,0.78971830985915492107,0.15479887604084507924,0.16389206925159569006
tight,7600,5975,0.78618421052631581869,0.15833297537368418162,0.16763376859343623315
tight,8100,6375,0.78703703703703709049,0.15748014886296290982,0.16673084536085508445
tight,8600,6757,0.78569767441860460799,0.15881951148139539232,0.16814888479775133567
tight,9100,7149,0.78560439560439565554,0.15891279029560434477,0.16824764299463906836
tight,9600,7487,0.77989583333333334370,0.16462135256666665661,0.17429153754338971849
tight,10100,7834,0.77564356435643566634,0.16887362154356433397,0.17879359323954502337
tight,10600,8278,0.78094339622641506526,0.16357378967358493504,0.17318243872685148976
tight,11100,8767,0.78981981981981985719,0.15469736608018014312,0.16378459639437265016
tight,11600,9113,0.78560344827586203742,0.15891373762413796289,0.16824864597113092790
tight,12100,9502,0.78528925619834710758,0.15922792970165289272,0.16858129431486174044
tight,12600,9914,0.78682539682539687220,0.15769178907460312811,0.16695491773857318307
tight,13100,10146,0.77450381679389312950,0.17001336910610687081,0.18000029183598878491
tight,13600,10643,0.78257352941176472338,0.16194365648823527692,0.17145654828283973803
tight,14100,11060,0.78439716312056739778,0.16012002277943260253,0.16952579071058340721
tight,14600,11501,0.78773972602739728011,0.15677745987260272020,0.16598687902456166210
tight,15100,11902,0.78821192052980137976,0.15630526537019862054,0.16548694687991344354
tight,15600,12232,0.78410256410256407023,0.16041462179743593008,0.16983769505960022439
tight,16100,12724,0.79031055900621116628,0.15420662689378883403,0.16326503021419383477
tight,16600,13055,0.78644578313253010737,0.15807140276746989294,0.16735683069318504912
tight,17100,13534,0.79146198830409353331,0.15305519759590646700,0.16204596367409143665
tight,17600,13803,0.78426136363636367310,0.16025582226363632721,0.16966956732601293223
tight,18100,14226,0.78596685082872930206,0.15855033507127069825,0.16786389643105667502
tight,18600,14668,0.78860215053763438320,0.15591503536236561711,0.16507379398692381689
tight,19100,15054,0.78816753926701565991,0.15634964663298434040,0.16553393518615946989
tight,19600,15446,0.78806122448979587514,0.15645596141020412517,0.16564649510439799496
tight,20100,15685,0.78034825870646762347,0.16416892719353237684,0.17381253580590075303
tight,20600,16131,0.78305825242718452017,0.16145893347281548014,0.17094335167545571252
