rect,N,M,S_est,abs_err,rel_err
wide,100,15,1.46016000000000012449,0.51564281410000012418,0.54593269640579455970
wide,600,60,0.97344000000000008299,0.02892281410000008268,0.03062179760386304211
wide,1100,101,0.89379490909090908435,0.05072227680909091596,0.05370180401827129302
wide,1600,161,0.97952400000000017233,0.03500681410000017202,0.03706318383888727863
wide,2100,234,1.08469028571428593999,0.14017309981428593968,0.14840714590144751805
wide,2600,237,0.88732800000000011664,0.05718918589999988367,0.06054859218417095457
wide,3100,310,0.97344000000000008299,0.02892281410000008268,0.03062179760386304211
wide,3600,391,1.05726400000000020363,0.11274681410000020332,0.11936978573086247379
wide,4100,411,0.97581424390243920453,0.03129705800243920422,0.03313550930533597921
wide,4600,445,0.94169739130434781949,0.00281979459565218082,0.00298543492669780218
wide,5100,480,0.91617882352941182322,0.02833836237058817709,0.03000301401989362987
wide,5600,559,0.97170171428571439076,0.02718452838571439045,0.02878140153671331081
wide,6100,587,0.93673652459016398808,0.00778066130983601223,0.00823771279759411695
wide,6600,628,0.92624290909090922774,0.01827427680909077257,0.01934774409814237969
wide,7100,647,0.88706433802816919698,0.05745284787183080333,0.06082774218352187540
wide,7600,703,0.90043200000000012118,0.04408518589999987913,0.04667483721642663730
wide,8100,783,0.94099200000000005062,0.00352518589999994969,0.00373226231626575802
wide,8600,869,0.98362716279069783987,0.03910997689069783956,0.04140737455553146484
wide,9100,917,0.98092800000000002214,0.03641081410000002183,0.03854965758543115600
wide,9600,930,0.94302000000000008040,0.00149718589999991991,0.00158513357125767882
wide,10100,980,0.94452594059405947657,0.00000875469405947626,0.00000926896216412854
wide,10600,1028,0.94405313207547181253,0.00046405382452818777,0.00049131326719693922
wide,11100,1095,0.96028540540540552328,0.01576821950540552297,0.01669447601462168557
wide,11600,1151,0.96588744827586225927,0.02137026237586225896,0.02262559400176421959
wide,12100,1184,0.95252310743801660298,0.00800592153801660267,0.00847620525865605892
wide,12600,1198,0.92554057142857149021,0.01897661447142851010,0.02009133846870801710
wide,13100,1268,0.94223047328244280418,0.00228671261755719613,0.00242103865519213528
wide,13600,1259,0.90114776470588242585,0.04336942119411757446,0.04591702707112973320
wide,14100,1314,0.90716323404255327922,0.03735395185744672109,0.03954819712661272746
wide,14600,1411,0.94076975342465762875,0.00374743247534237156,0.00396756409654056615
wide,15100,1440,0.92831364238410607470,0.01620354351589392561,0.01715537182148156592
wide,15600,1504,0.93849600000000010791,0.00602118589999989240,0.00637488231012175652
wide,16100,1544,0.93353500621118024050,0.01098217968881975981,0.01162729472027043513
wide,16600,1622,0.95115643373493985457,0.00663924783493985426,0.00702925042979872169
wide,17100,1653,0.94099200000000005062,0.00352518589999994969,0.00373226231626575802
wide,17600,1756,0.97122763636363651507,0.02671045046363651476,0.02827947533658160817
wide,18100,1791,0.96322156906077360805,0.01870438316077360774,0.01980311575056286841
wide,18600,1756,0.91901109677419356991,0.02550608912580643040,0.02700436742344979046
wide,19100,1876,0.95611174869109960550,0.01159456279109960519,0.01227565042138594777
wide,19600,1887,0.93718432653061234383,0.00733285936938765648,0.00776360608240326579
wide,20100,1976,0.95697385074626872825,0.01245666484626872794,0.01318839406230514801
wide,20600,2001,0.94555992233009722447,0.00104273643009722417,0.00110398883753886831
wide,21100,2062,0.95129539336492896506,0.00677820746492896475,0.00717637282424906774
wide,21600,2104,0.94820266666666663813,0.00368548076666663782,0.00390197322154055021
wide,22100,2152,0.94789270588235308157,0.00337551998235308126,0.00357380472557167596
wide,22600,2226,0.95879532743362838598,0.01427814153362838567,0.01511686790539783047
wide,23100,2155,0.90812259740259737573,0.03639458849740262458,0.03853247885873394007
wide,23600,2359,0.97302752542372894506,0.02851033952372894476,0.03018509345233603286
wide,24100,2306,0.93143263070539428217,0.01308455519460571814,0.01385316793588871158
wide,24600,2387,0.94455336585365856639,0.00003617995365856608,0.00003830523594347451
wide,25100,2513,0.97460347410358572073,0.03008628820358572042,0.03185361648546126273
wide,25600,2512,0.95518800000000014805,0.01067081410000014774,0.01129763889879067951
wide,26100,2497,0.93129489655172426055,0.01322228934827573976,0.01399899286710876156
wide,26600,2623,0.95989966917293245707,0.01538248327293245676,0.01628608087027551971
wide,27100,2693,0.96733354981549823925,0.02281636391549823895,0.02415664241594213044
wide,27600,2711,0.95615791304347841351,0.01164072714347841320,0.01232452655944670829
wide,28100,2680,0.92840540925266912264,0.01611177664733087767,0.01705821438492777231
wide,28600,2788,0.94893381818181832266,0.00441663228181832235,0.00467607402782179750
